"fecha";"Run Fondo";"serie";"1 mes";"3 meses";"6 meses";"1 año ";"ytd"
2023-03-31;"9201";APV;"1.37%";"1.25%";"5.12%";"0.29%";"1.26%"
2023-04-01;"9201";APV;"1.59%";"1.25%";"5.11%";"0.22%";"1.27%"
2023-04-02;"9201";APV;"1.79%";"1.25%";"5.11%";"0.23%";"1.28%"
2023-04-03;"9201";APV;"1.97%";"1.58%";"5.26%";"0.47%";"1.52%"
2023-04-04;"9201";APV;"1.86%";"1.35%";"5.29%";"0.24%";"1.42%"
2023-04-05;"9201";APV;"1.71%";"1.12%";"5.30%";"0.08%";"1.28%"
2023-04-06;"9201";APV;"2.04%";"1.16%";"5.78%";"0.37%";"1.55%"
2023-04-07;"9201";APV;"1.95%";"1.15%";"5.66%";"0.39%";"1.56%"
2023-04-08;"9201";APV;"2.18%";"1.15%";"5.65%";-0.03%;"1.57%"
2023-04-09;"9201";APV;"2.37%";"0.96%";"5.64%";-0.03%;"1.58%"
2023-04-10;"9201";APV;"1.83%";"0.52%";"5.38%";-0.27%;"1.34%"
2023-04-11;"9201";APV;"1.67%";"0.10%";"5.13%";-0.68%;"1.18%"
2023-04-12;"9201";APV;"1.49%";-0.27%;"4.82%";-1.01%;"1.01%"
2023-04-13;"9201";APV;"0.58%";-0.24%;"4.24%";-1.50%;"0.93%"
2023-04-14;"9201";APV;"0.84%";-0.21%;"4.20%";-1.66%;"0.96%"
2023-04-15;"9201";APV;"0.54%";-0.21%;"4.20%";-1.66%;"0.97%"
2023-04-16;"9201";APV;"0.56%";-0.12%;"4.19%";-1.66%;"0.98%"
2023-04-17;"9201";APV;"0.15%";-0.37%;"3.61%";-1.93%;"0.71%"
2023-04-18;"9201";APV;-0.01%;-0.53%;"3.64%";-1.94%;"0.55%"
2023-04-19;"9201";APV;-0.31%;-0.71%;"3.53%";-2.34%;"0.26%"
2023-04-20;"9201";APV;-0.45%;-0.59%;"3.35%";-2.29%;"0.26%"
2023-04-21;"9201";APV;-0.49%;-0.71%;"2.95%";-2.04%;"0.15%"
2023-04-22;"9201";APV;-0.38%;-0.71%;"2.95%";-1.87%;"0.16%"
2023-04-23;"9201";APV;-0.53%;-0.78%;"2.95%";-1.88%;"0.17%"
2023-04-24;"9201";APV;-0.96%;-1.07%;"2.64%";-2.13%;-0.09%
2023-04-25;"9201";APV;-0.91%;-1.00%;"2.59%";-1.95%;-0.02%
2023-04-26;"9201";APV;-0.94%;-1.07%;"2.39%";-1.77%;-0.04%
2023-04-27;"9201";APV;-0.83%;-1.14%;"2.22%";-1.79%;-0.15%
2023-04-28;"9201";APV;-0.92%;-1.10%;"2.36%";-1.68%;-0.10%
2023-04-29;"9201";APV;-0.97%;-1.09%;"2.35%";-1.52%;-0.09%
2023-04-30;"9201";APV;-1.24%;-0.88%;"2.34%";-1.52%;-0.08%
2023-05-01;"9201";APV;-1.33%;-0.50%;"2.33%";-1.53%;-0.08%
2023-05-02;"9201";APV;-1.40%;-0.77%;"2.18%";-1.34%;-0.15%
2023-05-03;"9201";APV;-1.61%;-0.61%;"2.25%";-1.32%;-0.11%
2023-05-04;"9201";APV;-1.56%;-0.67%;"1.98%";-1.27%;-0.16%
2023-05-05;"9201";APV;-1.50%;-0.75%;"1.88%";-1.10%;-0.24%
2023-05-06;"9201";APV;-1.76%;-0.46%;"1.88%";-0.81%;-0.23%
2023-05-07;"9201";APV;-1.75%;-0.43%;"1.64%";-0.81%;-0.22%
2023-05-08;"9201";APV;-1.95%;-0.59%;"0.78%";-1.02%;-0.41%
2023-05-09;"9201";APV;-2.11%;-0.65%;-0.09%;-0.61%;-0.57%
2023-05-10;"9201";APV;-1.82%;-0.35%;-0.70%;-0.54%;-0.51%
2023-05-11;"9201";APV;-1.72%;-0.41%;-0.90%;-1.00%;-0.56%
2023-05-12;"9201";APV;-1.67%;-0.54%;-1.03%;-1.38%;-0.68%
2023-05-13;"9201";APV;-1.58%;-0.39%;-1.02%;-1.29%;-0.67%
2023-05-14;"9201";APV;-1.61%;-0.30%;-1.34%;-1.28%;-0.66%
2023-05-15;"9201";APV;-1.83%;-0.44%;-2.04%;-1.51%;-0.88%
2023-05-16;"9201";APV;-1.81%;-0.51%;-2.06%;-1.55%;-0.84%
2023-05-17;"9201";APV;-1.41%;-0.42%;-1.40%;-1.52%;-0.71%
2023-05-18;"9201";APV;-1.35%;-0.53%;-1.45%;-1.67%;-0.80%
2023-05-19;"9201";APV;-1.10%;-0.58%;-1.49%;-1.83%;-0.84%
2023-05-20;"9201";APV;-1.09%;-0.65%;-1.49%;-2.00%;-0.83%
2023-05-21;"9201";APV;-0.97%;-0.44%;-1.61%;-1.99%;-0.82%
2023-05-22;"9201";APV;-1.33%;-0.85%;-1.90%;-2.35%;-1.18%
2023-05-23;"9201";APV;-1.56%;-1.12%;-1.93%;-2.75%;-1.40%
2023-05-24;"9201";APV;-1.24%;-1.10%;-1.84%;-2.86%;-1.33%
2023-05-25;"9201";APV;-1.50%;-1.30%;-1.84%;-3.06%;-1.52%
2023-05-26;"9201";APV;-1.65%;-1.49%;-2.02%;-3.04%;-1.69%
2023-05-27;"9201";APV;-1.54%;-1.52%;-2.02%;-3.02%;-1.68%
2023-05-28;"9201";APV;-1.57%;-1.56%;-1.74%;-3.02%;-1.67%
2023-05-29;"9201";APV;-1.31%;-1.30%;-1.67%;-2.77%;-1.40%
2023-05-30;"9201";APV;-1.38%;-1.36%;-1.66%;-2.73%;-1.46%
2023-05-31;"9201";APV;-1.22%;-1.19%;-1.49%;-2.51%;-1.30%
2023-06-01;"9201";APV;-1.07%;-0.83%;-1.81%;-2.40%;-1.15%
2023-06-02;"9201";APV;-0.95%;-0.60%;-1.77%;-2.24%;-1.10%
2023-06-03;"9201";APV;-0.97%;-0.65%;-1.76%;-2.14%;-1.09%
2023-06-04;"9201";APV;-0.92%;-0.64%;-1.76%;-2.14%;-1.07%
2023-06-05;"9201";APV;-0.60%;-0.42%;-1.56%;-1.91%;-0.84%
2023-06-06;"9201";APV;-0.58%;-0.34%;-1.48%;-1.74%;-0.81%
2023-06-07;"9201";APV;-0.52%;-0.35%;-1.07%;-1.54%;-0.73%
2023-06-08;"9201";APV;-0.45%;-0.26%;-1.20%;-1.43%;-0.86%
2023-06-09;"9201";APV;-0.24%;-0.03%;-1.24%;-1.22%;-0.81%
2023-06-10;"9201";APV;-0.29%;-0.32%;-1.24%;-1.15%;-0.80%
2023-06-11;"9201";APV;-0.23%;-0.31%;-1.24%;-1.15%;-0.79%
2023-06-12;"9201";APV;-0.10%;-0.31%;-0.98%;-1.14%;-0.78%
2023-06-13;"9201";APV;-0.03%;-1.03%;-1.07%;-0.85%;-0.70%
2023-06-14;"9201";APV;"0.04%";-0.74%;-0.95%;-0.70%;-0.62%
2023-06-15;"9201";APV;"0.50%";-0.81%;-0.66%;-0.69%;-0.38%
2023-06-16;"9201";APV;"0.64%";-0.62%;-0.32%;-0.87%;-0.21%
2023-06-17;"9201";APV;"0.52%";-0.75%;-0.32%;-1.05%;-0.20%
2023-06-18;"9201";APV;"0.63%";-0.74%;-0.32%;-1.04%;-0.18%
2023-06-19;"9201";APV;"0.72%";-0.69%;-0.08%;-0.99%;-0.13%
2023-06-20;"9201";APV;"1.07%";-0.48%;"0.36%";-0.75%;"0.23%"
2023-06-21;"9201";APV;"1.07%";-0.40%;"0.47%";-0.74%;"0.24%"
2023-06-22;"9201";APV;"1.44%";-0.29%;"0.58%";-1.10%;"0.24%"
2023-06-23;"9201";APV;"1.63%";-0.48%;"0.67%";-1.42%;"0.21%"
2023-06-24;"9201";APV;"1.58%";-0.65%;"0.67%";-1.24%;"0.23%"
2023-06-25;"9201";APV;"1.78%";-0.65%;"0.67%";-1.23%;"0.24%"
2023-06-26;"9201";APV;"1.98%";-0.64%;"0.80%";-1.23%;"0.25%"
2023-06-27;"9201";APV;"2.05%";-0.35%;"0.80%";-1.15%;"0.33%"
2023-06-28;"9201";APV;"1.98%";-0.55%;"0.62%";-1.07%;"0.28%"
2023-06-29;"9201";APV;"1.71%";-0.61%;"0.37%";-1.11%;"0.28%"
2023-06-30;"9201";APV;"1.77%";-0.89%;"0.28%";-1.39%;"0.28%"
2023-07-01;"9201";APV;"1.45%";-0.96%;"0.27%";-1.50%;"0.29%"
2023-07-02;"9201";APV;"1.42%";-0.96%;"0.28%";-1.50%;"0.30%"
2023-07-03;"9201";APV;"1.59%";-1.02%;"0.55%";-1.32%;"0.49%"
2023-07-04;"9201";APV;"1.55%";-0.95%;"0.39%";-1.28%;"0.46%"
2023-07-05;"9201";APV;"1.20%";-0.92%;"0.18%";-1.63%;"0.35%"
2023-07-06;"9201";APV;"1.10%";-1.26%;-0.11%;-1.70%;"0.28%"
2023-07-07;"9201";APV;"0.71%";-1.57%;-0.43%;-1.96%;-0.03%
2023-07-08;"9201";APV;"0.85%";-1.57%;-0.44%;-1.73%;-0.02%
2023-07-09;"9201";APV;"0.80%";-1.56%;-0.62%;-1.73%;-0.01%
2023-07-10;"9201";APV;"0.74%";-1.39%;-0.87%;-1.79%;-0.07%
2023-07-11;"9201";APV;"0.47%";-1.48%;-1.38%;-2.10%;-0.32%
2023-07-12;"9201";APV;"0.33%";-1.45%;-1.71%;-2.23%;-0.45%
2023-07-13;"9201";APV;"0.56%";-1.05%;-1.29%;-2.19%;-0.14%
2023-07-14;"9201";APV;"0.46%";-1.12%;-1.33%;-2.36%;-0.16%
2023-07-15;"9201";APV;"0.23%";-1.11%;-1.32%;-2.35%;-0.15%
2023-07-16;"9201";APV;"0.07%";-1.11%;-1.23%;-2.34%;-0.14%
2023-07-17;"9201";APV;"0.36%";-0.54%;-0.91%;-2.06%;"0.16%"
2023-07-18;"9201";APV;"0.34%";-0.39%;-0.92%;-2.24%;"0.16%"
2023-07-19;"9201";APV;"0.19%";-0.19%;-0.89%;-2.27%;"0.07%"
2023-07-20;"9201";APV;-0.16%;-0.19%;-0.78%;-2.14%;"0.07%"
2023-07-21;"9201";APV;-0.34%;-0.24%;-0.95%;-2.22%;-0.10%
2023-07-22;"9201";APV;-0.33%;-0.24%;-0.95%;-2.38%;-0.08%
2023-07-23;"9201";APV;-0.29%;-0.24%;-1.01%;-2.37%;-0.07%
2023-07-24;"9201";APV;-0.24%;"0.07%";-1.00%;-2.32%;-0.02%
2023-07-25;"9201";APV;-0.15%;"0.11%";-0.89%;-2.45%;"0.09%"
2023-07-26;"9201";APV;-0.17%;"0.12%";-0.95%;-2.39%;"0.08%"
2023-07-27;"9201";APV;-0.21%;"0.27%";-0.87%;-2.25%;"0.12%"
2023-07-28;"9201";APV;"0.00%";"0.38%";-0.72%;-2.23%;"0.28%"
2023-07-29;"9201";APV;"0.02%";"0.38%";-0.71%;-2.34%;"0.30%"
2023-07-30;"9201";APV;"0.03%";"0.39%";-0.50%;-2.33%;"0.31%"
2023-07-31;"9201";APV;"0.47%";"0.84%";"0.25%";-1.91%;"0.75%"
